Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.7938697657913414,0.8156991275236876,0.8156991275236875,0.7921800195478165,1.5995700359344482
BaggingClassifier,0.7914744499645139,0.8135074951053898,0.8135074951053898,0.7896796599477803,8.868828773498535
XGBClassifier,0.7882806955287438,0.8108400129117612,0.8108400129117612,0.7862492115804298,1.003432273864746
DecisionTreeClassifier,0.7848207948899929,0.8080139141263558,0.8080139141263558,0.7824926438248498,1.3024530410766602
PassiveAggressiveClassifier,0.7929382540809085,0.8053236228234985,0.8053236228234983,0.7934709054770618,0.9475502967834473
RandomForestClassifier,0.7718683463449255,0.7963990021510214,0.7963990021510213,0.768722995927498,8.483122825622559
ExtraTreesClassifier,0.7678317955997161,0.7927281959901177,0.7927281959901177,0.7644270967440732,13.453497409820557
NuSVC,0.774041873669269,0.7923082114807327,0.7923082114807325,0.77323631319992,2599.3439586162567
Perceptron,0.7757718239886444,0.7918110531426727,0.7918110531426727,0.7755718330391984,0.6353559494018555
AdaBoostClassifier,0.7666341376863024,0.7875677082489527,0.7875677082489526,0.764857033238812,8.671846866607666
GaussianNB,0.7675212916962385,0.7864304785612709,0.7864304785612709,0.76645323848062,0.44380974769592285
ExtraTreeClassifier,0.7611781405251952,0.7861072793011253,0.7861072793011252,0.7575978826213405,0.46587538719177246
BernoulliNB,0.7554116394606104,0.7813804133890057,0.7813804133890055,0.7511599325130566,0.40305256843566895
SVC,0.7574077359829666,0.7787872002228062,0.7787872002228062,0.7553147225844947,99.31698560714722
KNeighborsClassifier,0.7567423704755145,0.7787038075516857,0.7787038075516857,0.7544004552063005,8.610858678817749
NearestCentroid,0.7411728176011355,0.7697879895503867,0.7697879895503867,0.7349354454546615,0.363919734954834
SGDClassifier,0.7452980837473385,0.7677747817400952,0.7677747817400952,0.7425166850644374,0.6614532470703125
CalibratedClassifierCV,0.7449432221433641,0.7675257150940606,0.7675257150940605,0.7421063665261619,100.88422060012817
LogisticRegression,0.7446327182398864,0.7673782402606528,0.7673782402606528,0.7417143051666857,2.697645664215088
LinearSVC,0.7446770759403832,0.7673169946929521,0.7673169946929521,0.7418084269410676,46.45170998573303
RidgeClassifier,0.7386444286728177,0.762105837428401,0.7621058374284011,0.7352523716710966,0.38129734992980957
RidgeClassifierCV,0.7386444286728177,0.762105837428401,0.7621058374284011,0.7352523716710966,0.6800003051757812
LinearDiscriminantAnalysis,0.7386000709723208,0.7620668753774387,0.7620668753774386,0.7352043187531988,0.9055423736572266
QuadraticDiscriminantAnalysis,0.7312366926898509,0.7571148151499636,0.7571148151499636,0.726343188049206,0.5963406562805176
DummyClassifier,0.43075762952448543,0.5,0.5,0.2593760558246646,0.2804415225982666
